Occupation,"Total 16 years and over","16 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 years and over","Median age"
Total employed,"157,538","5,150","14,172","35,807","33,127","32,042","26,893","10,347",42.3
"Management, professional, and related occupations","64,218",428,"3,402","15,126","15,133","14,103","11,360","4,665",43.8
"Management, business, and financial operations occupations","26,981",82,969,"5,529","6,330","6,469","5,394","2,208",45.9
Management occupations,"18,985",62,536,"3,452","4,524","4,731","4,024","1,655",47
Chief executives,"1,602",2,5,121,329,461,465,219,52.7
General and operations managers,"1,058",0,19,258,282,257,196,46,44.2
Legislators,19,0,0,3,2,1,5,7,–
Advertising and promotions managers,55,0,9,13,12,10,8,3,40.2
Marketing and sales managers,"1,184",4,69,283,313,289,180,45,42.5
Public relations and fundraising managers,73,0,2,19,12,17,19,4,44.8
Administrative services managers,184,1,3,19,41,46,56,18,51.4
Computer and information systems managers,654,1,6,115,197,198,116,23,45.3
Financial managers,"1,194",1,30,264,332,299,210,58,44
Compensation and benefits managers,24,0,2,1,6,10,3,2,–
Human resources managers,321,1,6,64,99,77,64,11,44.3
Training and development managers,46,2,1,9,17,6,9,2,–
Industrial production managers,274,0,3,51,77,68,65,11,45.4
Purchasing managers,227,0,5,44,56,67,46,9,46.4
"Transportation, storage, and distribution managers",281,0,11,55,59,77,69,10,47.2
"Farmers, ranchers, and other agricultural managers",962,3,23,114,132,145,251,296,56.1
Construction managers,994,1,27,184,259,233,214,77,46.5
Education administrators,958,4,21,140,255,307,178,52,46.4
Architectural and engineering managers,154,0,1,21,41,45,41,5,47.9
Food service managers,"1,249",24,131,309,283,264,176,61,41
Funeral service managers,13,0,0,0,2,1,6,4,–
Gaming managers,19,0,2,1,4,6,3,2,–
Lodging managers,162,1,8,37,36,32,31,18,45.9
Medical and health services managers,677,1,8,135,177,164,142,50,46.1
Natural sciences managers,15,0,0,1,3,8,0,1,–
Postmasters and mail superintendents,30,0,0,3,7,10,9,2,–
"Property, real estate, and community association managers",780,1,21,152,140,162,169,134,49.6
Social and community service managers,470,3,17,96,109,107,97,41,46.5
Emergency management directors,7,0,0,1,0,4,1,0,–
"Managers, all other","5,299",12,105,939,"1,243","1,360","1,196",444,47.8
Business and financial operations occupations,"7,996",19,433,"2,076","1,806","1,738","1,370",554,43.3
"Agents and business managers of artists, performers, and athletes",47,1,3,11,12,10,3,7,–
"Buyers and purchasing agents, farm products",16,0,1,4,6,1,1,3,–
"Wholesale and retail buyers, except farm products",226,1,20,56,41,38,50,20,44.3
"Purchasing agents, except wholesale, retail, and farm products",279,0,16,57,56,73,53,23,46
"Claims adjusters, appraisers, examiners, and investigators",318,0,11,64,81,88,58,16,45.2
Compliance officers,298,0,10,56,84,85,50,13,44.3
Cost estimators,127,0,2,27,25,26,31,15,48
Human resources workers,770,2,43,235,195,155,105,35,40.7
"Compensation, benefits, and job analysis specialists",51,1,2,10,11,15,8,4,45.8
Training and development specialists,125,2,2,26,29,28,30,8,46.6
Logisticians,154,0,12,45,33,41,20,3,41.9
Management analysts,950,1,31,241,191,203,181,102,45.7
"Meeting, convention, and event planners",146,1,22,47,27,28,15,6,36.6
Fundraisers,93,0,5,29,23,17,11,8,40.6
Market research analysts and marketing specialists,369,1,41,128,86,68,32,12,37.5
"Business operations specialists, all other",269,1,19,69,62,49,55,14,42.8
Accountants and auditors,"1,964",5,91,503,413,429,364,160,44.4
Appraisers and assessors of real estate,84,1,0,9,18,18,28,10,51.4
Budget analysts,51,0,1,19,10,11,9,1,41.3
Credit analysts,28,0,5,8,8,4,3,0,–
Financial analysts,345,1,27,119,94,67,29,7,38.2
Personal financial advisors,551,0,31,140,133,112,93,41,43.4
Insurance underwriters,105,1,8,23,21,31,18,3,44.5
Financial examiners,21,0,0,3,7,2,10,0,–
Credit counselors and loan officers,403,1,20,104,103,88,70,17,42.2
"Tax examiners and collectors, and revenue agents",53,0,0,12,11,12,14,3,47.8
Tax preparers,97,0,7,14,12,20,22,23,53.4
"Financial specialists, all other",57,0,3,15,15,16,7,1,41.6
Professional and related occupations,"37,237",346,"2,433","9,598","8,803","7,634","5,966","2,457",42.4
Computer and mathematical occupations,"5,352",26,354,"1,593","1,414","1,092",700,173,40.5
Computer and information research scientists,24,0,4,6,7,4,1,1,–
Computer systems analysts,663,1,59,191,181,121,94,16,39.9
Information security analysts,125,1,12,46,31,18,15,2,38.1
Computer programmers,454,2,19,117,105,116,72,24,43.5
"Software developers, applications and systems software","1,815",2,111,640,496,313,195,56,39.2
Web developers,193,4,15,56,60,36,16,7,38.9
Computer support specialists,547,5,36,158,145,119,68,15,40.6
Database administrators,106,0,5,21,29,27,18,7,44.5
Network and computer systems administrators,199,0,8,48,65,50,25,4,42
Computer network architects,106,0,1,15,32,37,19,3,45.4
"Computer occupations, all other",808,11,61,205,190,188,121,33,41.4
Actuaries,33,0,1,7,7,10,7,0,–
Mathematicians,3,0,1,0,1,1,0,0,–
Operations research analysts,152,0,8,42,34,35,30,4,43.3
Statisticians,101,0,9,35,26,14,15,2,38.9
Miscellaneous mathematical science occupations,22,0,5,6,5,4,4,0,–
Architecture and engineering occupations,"3,305",13,209,871,718,659,663,173,43.3
"Architects, except naval",208,0,3,42,53,43,46,21,46.2
"Surveyors, cartographers, and photogrammetrists",48,0,1,9,9,10,13,5,–
Aerospace engineers,134,0,4,36,23,22,39,10,48.1
Agricultural engineers,6,0,0,3,0,0,2,0,–
Biomedical engineers,25,0,4,8,6,1,5,1,–
Chemical engineers,87,0,6,28,14,17,15,6,42.8
Civil engineers,475,0,37,134,109,75,90,29,41.5
Computer hardware engineers,77,0,12,17,22,11,13,1,39.9
Electrical and electronics engineers,285,0,13,70,69,54,61,18,44.2
Environmental engineers,25,0,0,8,5,6,3,2,–
"Industrial engineers, including health and safety",245,1,11,64,56,53,49,11,43.4
Marine engineers and naval architects,12,0,0,4,3,3,2,0,–
Materials engineers,44,0,1,16,7,10,8,3,–
Mechanical engineers,351,4,22,113,74,73,54,12,40.8
"Mining and geological engineers, including mining safety engineers",8,0,0,2,1,2,3,0,–
Nuclear engineers,8,0,0,3,1,1,2,2,–
Petroleum engineers,24,0,1,7,9,4,2,1,–
"Engineers, all other",582,1,32,150,128,118,125,27,43.6
Drafters,113,0,12,23,24,32,17,4,44
"Engineering technicians, except drafters",496,5,41,120,97,111,106,15,43.7
Surveying and mapping technicians,53,1,7,13,6,13,8,5,44.6
"Life, physical, and social science occupations","1,485",9,137,427,320,262,231,99,41
Agricultural and food scientists,37,0,8,13,6,5,6,1,–
Biological scientists,104,0,8,32,23,23,12,7,41.2
Conservation scientists and foresters,20,0,1,3,8,3,4,1,–
Medical scientists,170,0,12,59,43,24,25,7,38.8
"Life scientists, all other",2,0,1,1,0,1,0,0,–
Astronomers and physicists,17,0,0,4,4,3,6,1,–
Atmospheric and space scientists,10,0,0,2,2,2,4,0,–
Chemists and materials scientists,97,0,7,35,16,16,17,5,40.9
Environmental scientists and geoscientists,119,1,10,32,31,18,18,10,41.1
"Physical scientists, all other",298,0,23,99,71,50,45,10,39.6
Economists,35,0,0,9,8,6,10,2,–
Survey researchers,0,0,0,0,0,0,0,0,–
Psychologists,234,0,4,43,49,61,37,41,48.3
Sociologists,2,0,2,0,0,0,0,0,–
Urban and regional planners,25,0,3,8,6,5,2,1,–
Miscellaneous social scientists and related workers,39,0,2,11,8,8,5,5,–
Agricultural and food science technicians,20,0,5,4,1,3,4,3,–
Biological technicians,23,0,3,8,6,3,4,0,–
Chemical technicians,56,1,3,17,15,11,9,1,40
Geological and petroleum technicians,20,0,1,3,6,8,0,1,–
Nuclear technicians,3,0,0,0,0,1,1,0,–
Social science research assistants,1,0,0,0,0,1,0,0,–
