Occupation,onetsoc_code,occ_type,em_2018,em_2028,p_2018,p_2028,change,percent_change,openings
"Total, all occupations",00-0000,Summary,161037.70,169435.90,100.00,100.00,8398.10,5.20,19694.00
Management occupations,11-0000,Summary,10193.30,10900.20,6.30,6.40,706.90,6.90,955.10
Top executives,11-1000,Summary,2691.50,2844.80,1.70,1.70,153.40,5.70,251.10
Chief executives,11-1011,Line item,263.20,248.80,0.20,0.10,-14.40,-5.50,16.80
General and operations managers,11-1021,Line item,2376.40,2541.40,1.50,1.50,165.00,6.90,230.00
Legislators,11-1031,Line item,51.90,54.60,0.00,0.00,2.70,5.20,4.30
"Advertising, marketing, promotions, public relations, and sales managers",Nov-00,Summary,773.70,822.40,0.50,0.50,48.70,6.30,75.50
Advertising and promotions managers,Nov-11,Line item,27.60,28.40,0.00,0.00,0.90,3.20,2.70
Marketing and sales managers,Nov-20,Summary,664.90,706.40,0.40,0.40,41.50,6.20,65.00
Marketing managers,Nov-21,Line item,259.20,280.10,0.20,0.20,20.90,8.10,26.00
Sales managers,Nov-22,Line item,405.70,426.30,0.30,0.30,20.60,5.10,39.00
Public relations and fundraising managers,Nov-31,Line item,81.20,87.60,0.10,0.10,6.30,7.80,7.80
Operations specialties managers,Nov-00,Summary,1963.90,2163.10,1.20,1.30,199.20,10.10,183.00
Administrative services managers,Nov-11,Line item,300.20,322.00,0.20,0.20,21.80,7.30,28.10
Computer and information systems managers,Nov-21,Line item,414.40,461.10,0.30,0.30,46.80,11.30,38.80
Financial managers,Nov-31,Line item,653.60,758.30,0.40,0.40,104.70,16.00,64.90
Industrial production managers,Nov-51,Line item,186.50,187.70,0.10,0.10,1.20,0.70,13.80
Purchasing managers,Nov-61,Line item,71.70,74.50,0.00,0.00,2.80,3.90,6.40
"Transportation, storage, and distribution managers",Nov-71,Line item,131.30,138.70,0.10,0.10,7.40,5.60,11.40
Compensation and benefits managers,Nov-11,Line item,16.40,16.80,0.00,0.00,0.50,2.90,1.40
Human resources managers,Nov-21,Line item,152.10,162.90,0.10,0.10,10.80,7.10,14.40
Training and development managers,Nov-31,Line item,37.80,40.90,0.00,0.00,3.10,8.10,3.80
Other management occupations,Nov-00,Summary,4764.30,5069.90,3.00,3.00,305.60,6.40,445.50
"Farmers, ranchers, and other agricultural managers",Nov-13,Line item,975.40,966.50,0.60,0.60,-9.00,-0.90,95.60
Construction managers,Nov-21,Line item,471.80,518.00,0.30,0.30,46.20,9.80,40.20
Education administrators,Nov-30,Summary,582.10,615.40,0.40,0.40,33.30,5.70,49.80
"Education administrators, preschool and childcare center/program",Nov-31,Line item,66.70,71.50,0.00,0.00,4.80,7.20,5.80
