Occupation,onetsoc_code,em_2018,em_2028,change,percent_change,median_wage
"Total, all occupations",00-0000,161037.70,169435.90,8398.10,5.20,39810.00
Locomotive firers,53-4012,0.50,0.20,-0.40,-68.30, NaN
Respiratory therapy technicians,29-2054,9.30,3.90,-5.30,-57.50, NaN
Parking enforcement workers,33-3041,8.60,5.40,-3.10,-36.70,40920.00
Word processors and typists,43-9022,60.40,40.00,-20.40,-33.80,40340.00
Watch repairers,49-9064,3.00,2.10,-0.90,-29.60,42520.00
"Electronic equipment installers and repairers, motor vehicles",49-2096,11.00,7.90,-3.10,-28.60,37380.00
Telephone operators,43-2021,5.70,4.10,-1.60,-28.40,35750.00
"Cutters and trimmers, hand",51-9031,10.70,7.70,-3.00,-28.40,30200.00
Postmasters and mail superintendents, 11-9131,13.30,9.60,-3.70,-27.50,76900.00
Mine shuttle car operators,53-7111,1.70,1.30,-0.40,-25.30, NaN
Computer operators,43-9011,36.80,28.00,-8.90,-24.10, NaN
"Switchboard operators, including answering service",43-2011,73.40,55.90,-17.50,-23.80,30610.00
"Postal service mail sorters, processors, and processing machine operators",43-5053,99.70,76.00,-23.70,-23.80,60140.00
Data entry keyers,43-9021,187.30,143.90,-43.40,-23.20,33490.00
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,45.10,35.20,-9.90,-22.00,54210.00
"Coil winders, tapers, and finishers",51-2021,12.30,9.70,-2.70,-21.60,36520.00
Photographic process workers and processing machine operators,51-9151,17.10,13.40,-3.60,-21.30,32280.00
"Pressers, textile, garment, and related materials",51-6021,39.90,31.40,-8.50,-21.20,24190.00
Legal secretaries,43-6012,180.10,142.50,-37.60,-20.90,47300.00
Prepress technicians and workers,51-5111,29.90,23.70,-6.20,-20.80,40510.00
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,19.80,15.70,-4.10,-20.70,43210.00
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,11.60,9.20,-2.40,-20.50,38910.00
Postal service clerks,43-5051,75.70,60.70,-15.00,-19.80,48330.00
Postal service mail carriers,43-5052,328.70,263.70,-65.10,-19.80,51310.00
Executive secretaries and executive administrative assistants,43-6011,622.50,499.40,-123.00,-19.80,60890.00
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,18.60,15.00,-3.60,-19.50,39670.00
Textile bleaching and dyeing machine operators and tenders,51-6061,9.70,7.90,-1.90,-19.40,29460.00
Timing device assemblers and adjusters,51-2093,0.80,0.60,-0.20,-19.30,35080.00
"Grinding and polishing workers, hand",51-9022,30.70,24.80,-5.90,-19.20,30600.00
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,22.10,17.90,-4.20,-18.90,29980.00
